number,name,status
527,Removing Un(der)used file types/extensions on PyPI,Final
545,Python Documentation Translations,Final
470,Removing External Hosting Support on PyPI,Final
478,Python 3.5 Release Schedule,Final
449,Removal of the PyPI Mirror Auto Discovery and Naming Scheme,Final
464,Removal of the PyPI Mirror Authenticity API,Final
438,Transitioning to release-file hosting on PyPI,Superseded
375,Python 3.1 Release Schedule,Final
385,Migrating from Subversion to Mercurial,Final
374,Choosing a distributed VCS for the Python project,Final
392,Python 3.2 Release Schedule,Final
398,Python 3.3 Release Schedule,Final
361,Python 2.6 and 3.0 Release Schedule,Final
373,Python 2.7 Release Schedule,Final
429,Python 3.4 Release Schedule,Final
356,Python 2.5 Release Schedule,Final
360,Externally Maintained Packages,Final
283,Python 2.3 Release Schedule,Final
347,Migrating the Python CVS to Subversion,Final
320,Python 2.4 Release Schedule,Final
251,Python 2.2 Release Schedule,Final
226,Python 2.1 Release Schedule,Final
200,Python 2.0 Release Schedule,Final
3155,Qualified name for classes and functions,Final
160,Python 1.6 Release Schedule,Final
3156,Asynchronous IO Support Rebooted: the “asyncio” Module,Final
3154,Pickle protocol version 4,Final
3148,futures - execute computations asynchronously,Final
3149,ABI version tagged .so files,Final
3147,PYC Repository Directories,Final
3151,Reworking the OS and IO exception hierarchy,Final
3144,IP Address Manipulation Library for the Python Standard Library,Final
3141,A Type Hierarchy for Numbers,Final
3135,New Super,Final
3138,String representation in Python 3000,Final
3137,Immutable Bytes and Mutable Buffer,Final
3134,Exception Chaining and Embedded Tracebacks,Final
3132,Extended Iterable Unpacking,Final
3131,Supporting Non-ASCII Identifiers,Final
3123,Making PyObject_HEAD conform to standard C,Final
3127,Integer Literal Support and Syntax,Final
3129,Class Decorators,Final
3115,Metaclasses in Python 3000,Final
3120,Using UTF-8 as the default source encoding,Final
3116,New I/O,Final
3119,Introducing Abstract Base Classes,Final
3118,Revising the buffer protocol,Final
3111,Simple input built-in in Python 3000,Final
3114,Renaming iterator.next() to iterator.__next__(),Final
3112,Bytes literals in Python 3000,Final
3113,Removal of Tuple Parameter Unpacking,Final
3110,Catching Exceptions in Python 3000,Final
3109,Raising Exceptions in Python 3000,Final
3107,Function Annotations,Final
3106,"Revamping dict.keys(), .values() and .items()",Final
3104,Access to Names in Outer Scopes,Final
3105,Make print a function,Final
3108,Standard Library Reorganization,Final
682,Format Specifier for Signed Zero,Final
3101,Advanced String Formatting,Final
3102,Keyword-Only Arguments,Final
657,Include Fine Grained Error Locations in Tracebacks,Final
660,Editable installs for pyproject.toml based builds (wheel based),Final
656,Platform Tag for Linux Distributions Using Musl,Final
670,Convert macros to functions in the Python C API,Final
644,Require OpenSSL 1.1.1 or newer,Final
652,Maintaining the Stable ABI,Final
643,Metadata for Package Source Distributions,Final
629,Versioning PyPI’s Simple API,Final
628,Add ,Final
623,Remove wstr from Unicode,Final
626,Precise line numbers for debugging and other tools.,Final
624,Remove Py_UNICODE encoder APIs,Final
627,Recording installed projects,Final
621,Storing project metadata in pyproject.toml,Final
618,Add Optional Length-Checking To zip,Final
616,String methods to remove prefixes and suffixes,Final
610,Recording the Direct URL Origin of installed distributions,Final
614,Relaxing Grammar Restrictions On Decorators,Final
597,Add optional EncodingWarning,Final
600,Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions,Final
587,Python Initialization Configuration,Final
592,Adding “Yank” Support to the Simple API,Final
585,Type Hinting Generics In Standard Collections,Final
584,Add Union Operators To dict,Final
574,Pickle protocol 5 with out-of-band data,Final
572,Assignment Expressions,Final
573,Module State Access from C Extension Methods,Final
567,Context Variables,Final
570,Python Positional-Only Parameters,Final
565,Show DeprecationWarning in __main__,Final
566,Metadata for Python Software Packages 2.1,Final
564,Add new time functions with nanosecond resolution,Final
562,Module __getattr__ and __dir__,Final
561,Distributing and Packaging Type Information,Final
557,Data Classes,Final
553,Built-in breakpoint(),Final
552,Deterministic pycs,Final
539,A New C-API for Thread-Local Storage in CPython,Final
540,Add a new UTF-8 Mode,Final
530,Asynchronous Comprehensions,Final
538,Coercing the legacy C locale to a UTF-8 based locale,Final
528,Change Windows console encoding to UTF-8,Final
529,Change Windows filesystem encoding to UTF-8,Final
526,Syntax for Variable Annotations,Final
523,Adding a frame evaluation API to CPython,Final
520,Preserving Class Attribute Definition Order,Final
519,Adding a file system path protocol,Final
525,Asynchronous Generators,Final
518,Specifying Minimum Build System Requirements for Python Projects,Final
524,Make os.urandom() blocking on Linux,Final
515,Underscores in Numeric Literals,Final
517,A build-system independent format for source trees,Final
509,Add a private version to dict,Final
506,Adding A Secrets Module To The Standard Library,Final
508,Dependency specification for Python Software Packages,Final
503,Simple Repository API,Final
498,Literal String Interpolation,Final
495,Local Time Disambiguation,Final
493,HTTPS verification migration tools for Python 2.7,Final
492,Coroutines with async and await syntax,Final
489,Multi-phase extension module initialization,Final
488,Elimination of PYO files,Final
486,Make the Python Launcher aware of virtual environments,Final
487,Simpler customisation of class creation,Final
485,A Function for testing approximate equality,Final
484,Type Hints,Final
479,Change StopIteration handling inside generators,Final
477,Backport ensurepip (PEP 453) to Python 2.7,Final
471,os.scandir() function – a better and faster directory iterator,Final
475,Retry system calls failing with EINTR,Final
476,Enabling certificate verification by default for stdlib http clients,Final
468,Preserving the order of **kwargs in a function.,Final
466,Network Security Enhancements for Python 2.7.x,Final
465,A dedicated infix operator for matrix multiplication,Final
456,Secure and interchangeable hash algorithm,Final
461,Adding % formatting to bytes and bytearray,Final
454,Add a new tracemalloc module to trace Python memory allocations,Final
450,Adding A Statistics Module To The Standard Library,Final
451,A ModuleSpec Type for the Import System,Final
446,Make newly created file descriptors non-inheritable,Final
448,Additional Unpacking Generalizations,Final
453,Explicit bootstrapping of pip in Python installations,Final
445,Add new APIs to customize Python memory allocators,Final
443,Single-dispatch generic functions,Final
441,Improving Python ZIP Application Support,Final
442,Safe object finalization,Final
440,Version Identification and Dependency Specification,Final
435,Adding an Enum type to the Python standard library,Final
436,The Argument Clinic DSL,Final
425,Compatibility Tags for Built Distributions,Final
428,The pathlib module – object-oriented filesystem paths,Final
427,The Wheel Binary Package Format 1.0,Final
424,A method for exposing a length hint,Final
420,Implicit Namespace Packages,Final
421,Adding sys.implementation,Final
418,"Add monotonic time, performance counter, and process time functions",Final
417,Including mock in the Standard Library,Final
415,Implement context suppression with exception attributes,Final
414,Explicit Unicode Literal for Python 3.3,Final
412,Key-Sharing Dictionary,Final
409,Suppressing exception context,Final
397,Python launcher for Windows,Final
393,Flexible String Representation,Final
405,Python Virtual Environments,Final
391,Dictionary-Based Configuration For Logging,Final
384,Defining a Stable ABI,Final
389,argparse - New Command Line Parsing Module,Final
383,Non-decodable Bytes in System Character Interfaces,Final
380,Syntax for Delegating to a Subgenerator,Final
378,Format Specifier for Thousands Separator,Final
376,Database of Installed Python Distributions,Final
372,Adding an ordered dictionary to collections,Final
362,Function Signature Object,Final
366,Main module explicit relative imports,Final
370,Per user site-packages directory,Final
371,Addition of the multiprocessing package to the standard library,Final
358,The “bytes” Object,Final
357,Allowing Any Object to be Used for Slicing,Final
353,Using ssize_t as the index type,Final
352,Required Superclass for Exceptions,Final
343,The “with” Statement,Final
342,Coroutines via Enhanced Generators,Final
341,Unifying try-except and try-finally,Final
331,Locale-Independent Float/String Conversions,Final
324,subprocess - New process module,Final
327,Decimal Data Type,Final
338,Executing modules as scripts,Final
328,Imports: Multi-Line and Absolute/Relative,Final
322,Reverse Iteration,Final
309,Partial Function Application,Final
311,Simplified Global Interpreter Lock Acquisition for Extensions,Final
318,Decorators for Functions and Methods,Final
308,Conditional Expressions,Final
307,Extensions to the pickle protocol,Final
305,CSV File API,Final
302,New Import Hooks,Final
301,Package Index and Metadata for Distutils,Final
292,Simpler String Substitutions,Final
293,Codec Error Handling Callbacks,Final
289,Generator Expressions,Final
282,A Logging System,Final
285,Adding a bool type,Final
279,The enumerate() built-in function,Final
277,Unicode file name support for Windows NT,Final
278,Universal Newline Support,Final
264,Future statements in simulated shells,Final
273,Import Modules from Zip Archives,Final
274,Dict Comprehensions,Final
261,Support for “wide” Unicode characters,Final
263,Defining Python Source Code Encodings,Final
260,Simplify xrange(),Final
253,Subtyping Built-in Types,Final
255,Simple Generators,Final
238,Changing the Division Operator,Final
250,Using site-packages on Windows,Final
252,Making Types Look More Like Classes,Final
237,Unifying Long Integers and Integers,Final
236,Back to the __future__,Final
232,Function Attributes,Final
235,Import on Case-Insensitive Platforms,Final
234,Iterators,Final
227,Statically Nested Scopes,Final
229,Using Distutils to Build Python,Final
230,Warning Framework,Final
223,Change the Meaning of ,Final
218,Adding a Built-In Set Object Type,Final
221,Import As,Final
214,Extended Print Statement,Final
217,Display Hook for Interactive Use,Final
208,Reworking the Coercion Model,Final
207,Rich Comparisons,Final
205,Weak References,Final
203,Augmented Assignments,Final
202,List Comprehensions,Final
201,Lockstep Iteration,Final
100,Python Unicode Integration,Final
702,Marking deprecations using the type system,Draft
699,Remove private dict version field added in PEP 509,Draft
701,Syntactic formalization of f-strings,Draft
697,Limited C API for Extending Opaque Types,Draft
698,Override Decorator for Static Typing,Draft
695,Type Parameter Syntax,Draft
696,Type defaults for TypeVarLikes,Draft
692,Using TypedDict for more precise **kwargs typing,Draft
694,Upload 2.0 API for Python Package Repositories,Draft
688,Making the buffer protocol accessible in Python,Draft
689,Unstable C API tier,Draft
684,A Per-Interpreter GIL,Draft
679,Allow parentheses in assert statements,Draft
661,Sentinel Values,Draft
671,Syntax for late-bound function argument defaults,Draft
667,Consistent views of namespaces,Draft
669,Low Impact Monitoring for CPython,Draft
659,Specializing Adaptive Interpreter,Draft
653,Precise Semantics for Pattern Matching,Draft
649,Deferred Evaluation Of Annotations Using Descriptors,Draft
639,Improving License Clarity with Better Package Metadata,Draft
603,Adding a frozenmap type to collections,Draft
638,Syntactic Macros,Draft
588,GitHub Issues Migration Plan,Draft
582,Python local packages directory,Draft
480,Surviving a Compromise of PyPI: End-to-end signing of packages,Draft
558,Defined semantics for locals(),Draft
554,Multiple Interpreters in the Stdlib,Draft
467,Minor API improvements for binary sequences,Draft
3121,Extension Module Initialization and Finalization,Accepted
691,JSON-based Simple API for Python Package Indexes,Accepted
700,Additional Fields for the Simple API for Package Indexes,Accepted
686,Make UTF-8 mode default,Accepted
687,Isolating modules in the standard library,Accepted
685,Comparison of extra names for optional distribution dependencies,Accepted
681,Data Class Transforms,Accepted
683,"Immortal Objects, Using a Fixed Refcount",Accepted
678,Enriching Exceptions with Notes,Accepted
680,tomllib: Support for Parsing TOML in the Standard Library,Accepted
673,Self Type,Accepted
675,Arbitrary Literal String Type,Accepted
655,Marking individual TypedDict items as required or potentially-missing,Accepted
668,Marking Python base environments as “externally managed”,Accepted
658,Serve Distribution Metadata in the Simple Repository API,Accepted
654,Exception Groups and except*,Accepted
646,Variadic Generics,Accepted
634,Structural Pattern Matching: Specification,Accepted
625,Filename of a Source Distribution,Accepted
647,User-Defined Type Guards,Accepted
632,Deprecate distutils module,Accepted
617,New PEG parser for CPython,Accepted
613,Explicit Type Aliases,Accepted
612,Parameter Specification Variables,Accepted
615,Support for the IANA Time Zone Database in the Standard Library,Accepted
604,Allow writing union types as ,Accepted
593,Flexible function and variable annotations,Accepted
594,Removing dead batteries from the standard library,Accepted
590,Vectorcall: a fast calling protocol for CPython,Accepted
591,Adding a final qualifier to typing,Accepted
589,TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,Accepted
586,Literal Types,Accepted
560,Core support for typing module and generic types,Accepted
458,Secure PyPI downloads with signed repository metadata,Accepted
563,Postponed Evaluation of Annotations,Accepted
578,Python Runtime Audit Hooks,Accepted
544,Protocols: Structural subtyping (static duck typing),Accepted
8101,2020 Term steering council election,Active
8102,2021 Term steering council election,Active
8104,2023 Term Steering Council election,Active
8103,2022 Term steering council election,Active
8100,January 2019 steering council election,Active
8016,The Steering Council Model,Accepted
8000,Python Language Governance Proposal Overview,Active
3333,Python Web Server Gateway Interface v1.0.1,Final
8002,Open Source Governance Survey,Active
693,Python 3.12 Release Schedule,Active
664,Python 3.11 Release Schedule,Active
672,Unicode-related Security Considerations for Python,Active
636,Structural Pattern Matching: Tutorial,Final
635,Structural Pattern Matching: Motivation and Rationale,Final
801,Reserved,Active
630,Isolating Extension Modules,Final
619,Python 3.10 Release Schedule,Active
607,Reducing CPython’s Feature Delivery Latency,Final
596,Python 3.9 Release Schedule,Active
579,Refactoring C functions and methods,Final
602,Annual Release Cycle for Python,Accepted
569,Python 3.8 Release Schedule,Active
483,The Theory of Type Hints,Final
537,Python 3.7 Release Schedule,Active
514,Python registration in the Windows registry,Active
482,Literature Overview for Type Hints,Final
457,Notation For Positional-Only Parameters,Final
434,IDLE Enhancement Exception for All Branches,Active
452,API for Cryptographic Hash Functions v2.0,Final
430,Migrating to Python 3 as the default online documentation,Final
399,Pure Python/C Accelerator Module Compatibility Requirements,Final
404,Python 2.8 Un-release Schedule,Final
394,The “python” Command on Unix-Like Systems,Active
291,Backward Compatibility for the Python 2 Standard Library,Final
290,Code Migration and Modernization,Active
333,Python Web Server Gateway Interface v1.0,Final
287,reStructuredText Docstring Format,Active
272,API for Block Encryption Algorithms v1.0,Final
7,Style Guide for C Code,Active
6,Bug Fix Releases,Active
5,Guidelines for Language Evolution,Active
4,Deprecation of Standard Modules,Active
2,Procedure for Adding New Modules,Active
